32 9467.46 5542.38
48 14090.7 13530.1
64 18572.3 18215.3
96 27673.7 27023.5
128 28926.6 30772
192 53274.1 52196
256 69067.9 60663.3
384 99766.2 98051.1
512 125660 121294
768 176066 168464
1024 213311 201545
1536 287156 280625
2048 325105 315505
3072 416091 403488
4096 446844 421099
6144 506137 464100
8192 563644 528235
12288 622256 606658
16384 654444 634230
24576 684063 667422
32768 702927 690613
49152 710587 698953
65536 718514 703670
98304 732682 677751
131072 724189 698586
196608 655913 654853
262144 691369 626293
393216 666041 663074
524288 669074 657432
